question_pt,options_json,correct_answer,explanation_pt,source
Você precisa pedir mais detalhes sobre o erro relatado pelo cliente.,"[""Could you please provide more details about the error you are seeing?"", ""Could you please provide more details about the error you are looking?"", ""Can you please send more informations about the error?"", ""Please provide me more details of the error you are seeing?""]",Could you please provide more details about the error you are seeing?,"A opção correta usa 'provide more details' e 'the error you are seeing', que soa natural e profissional.",csv:request-info
Você precisa pedir um exemplo de relatório afetado.,"[""Could you please provide an example of an affected report?"", ""Could you please provide an example from an affected report?"", ""Can you provide one affected report example for me?"", ""Could you please provide a report affected example?""]",Could you please provide an example of an affected report?,A frase correta é direta e natural. 'Affected report' funciona como substantivo composto.,csv:request-info
Você precisa pedir um print da mensagem de erro.,"[""Could you please share a screenshot of the error message?"", ""Could you please share a print of the error message?"", ""Can you send a screenshot from the error message?"", ""Could you please send the error message print?""]",Could you please share a screenshot of the error message?,"Em inglês profissional, usamos 'screenshot', não 'print'.",csv:request-info
Você precisa pedir permissão para testar como o usuário afetado.,"[""Could you please confirm whether we have your permission to test as the affected user?"", ""Could you please confirm if we have your permission to test like the affected user?"", ""Can you confirm if we can test in the affected user?"", ""Please confirm we have permission for testing as affected user?""]",Could you please confirm whether we have your permission to test as the affected user?,"A opção correta usa 'test as the affected user', que é natural em suporte.",csv:request-info
Você precisa pedir a data e hora em que o problema ocorreu.,"[""Could you please provide the date and time when the issue occurred?"", ""Could you please provide the date and hour that the issue happened?"", ""Can you provide when the issue was occurred?"", ""Please provide the date and time where the issue occurred?""]",Could you please provide the date and time when the issue occurred?,Usamos 'when the issue occurred'. Não usamos 'was occurred'.,csv:request-info
Você precisa pedir os passos para reproduzir o problema.,"[""Could you please provide the exact steps you followed to reproduce the issue?"", ""Could you please provide the exactly steps you followed to reproduce the issue?"", ""Can you provide the steps that you did to reproduce the issue?"", ""Could you please provide the exact steps that you follow to reproduce the issue?""]",Could you please provide the exact steps you followed to reproduce the issue?,A opção correta usa 'exact steps' e passado simples 'followed'.,csv:request-info
Você quer informar que vai investigar internamente.,"[""I will investigate this internally and get back to you as soon as I have an update."", ""I will investigate this internal and return to you when I have update."", ""I will check this inside and come back when I have news."", ""I will investigate internally and back to you once I have update.""]",I will investigate this internally and get back to you as soon as I have an update.,"A frase correta usa 'internally', 'get back to you' e 'an update' de forma natural.",csv:case-update
Você quer dizer que ainda está investigando o caso.,"[""I am still investigating this case and will update you as soon as possible."", ""I still investigating this case and will update you soon."", ""I am still investigate this case and will update you as soon as possible."", ""I am still checking this case and will return you soon.""]",I am still investigating this case and will update you as soon as possible.,Use 'I am still investigating' para uma ação em andamento.,csv:case-update
Você quer avisar que está revisando os logs.,"[""I am reviewing the logs to better understand what happened."", ""I am reviewing the logs to better understand what did happen."", ""I am checking the logs for understand better what happened."", ""I am validating the logs to know what happened better.""]",I am reviewing the logs to better understand what happened.,A opção correta é natural: 'to better understand what happened'.,csv:case-update
Você quer dizer que precisa de mais tempo para concluir a análise.,"[""I need some additional time to complete my analysis."", ""I need more time for complete my analysis."", ""I need additional time to finish with my analyze."", ""I need more time to conclude my analyse.""]",I need some additional time to complete my analysis.,Usamos 'complete my analysis'. 'Analysis' é o substantivo correto.,csv:case-update
